Date,stock,Sentiment_Score
2011-04-27,DGP,0.0
2011-04-28,DEJ,0.25
2011-04-28,ESR,0.0
2011-04-29,AIA,0.0
2011-04-29,GDL,0.7351
2011-04-30,PTM,0.2023
2011-05-01,DBP,0.0
2011-05-02,AGOL,0.296
2011-05-02,DBP,0.34
2011-05-02,DGZ,0.0
2011-05-02,GLTR,0.296
2011-05-02,PSQ,0.0
2011-05-02,SCJ,0.0
2011-05-02,SZO,0.0
2011-05-02,TLH,0.0
2011-05-02,WITE,0.296
2011-05-03,CSM,0.0
2011-05-03,NIM,0.0
2011-05-05,LTL,0.0
2011-05-05,MHF,0.0
2011-05-05,NLR,-0.128
2011-05-06,DGP,0.2023
2011-05-06,EMI,0.0
2011-05-06,WOOD,0.0
2011-05-07,FUE,0.0
2011-05-07,FXR,0.6369
2011-05-09,BRAF,0.0
2011-05-09,EDIV,0.0
2011-05-09,FTC,-0.6688
2011-05-11,NLR,0.25
2011-05-11,PWV,0.34
2011-05-11,UGL,0.0
2011-05-12,BOM,0.2023
2011-05-13,JKF,0.34
2011-05-13,NLR,0.4019
2011-05-13,PSAU,0.0
2011-05-13,UGL,0.0
2011-05-15,DBS,0.0
2011-05-16,PXR,0.0
2011-05-16,TTT,0.0
2011-05-16,TWM,0.0
2011-05-17,ICI,0.0
2011-05-17,SZO,0.34
2011-05-17,TLO,-0.4767
2011-05-18,DWX,0.0
2011-05-18,KROO,0.0
2011-05-18,TLO,0.0
2011-05-19,ESR,0.0
2011-05-19,SGF,0.0
2011-05-20,NECB,0.296
2011-05-22,TBF,0.101
2011-05-22,WIP,0.101
2011-05-23,DNO,0.3612
2011-05-23,GTAA,0.3182
2011-05-23,PSK,0.0
2011-05-24,CCX,-0.4215
2011-05-24,CGW,0.3182
2011-05-24,FIW,0.3182
2011-05-24,MOG.B,0.0
2011-05-25,BDD,0.2023
2011-05-25,BOM,0.2023
2011-05-25,ENY,0.0
2011-05-25,EXI,0.0
2011-05-25,PCQ,0.5423
2011-05-25,PEZ,0.0
2011-05-25,PNF,0.5423
2011-05-25,PNI,0.5423
2011-05-25,PZC,0.5423
2011-05-26,IYJ,-0.5423
2011-05-26,UCI,0.0
2011-05-27,FXS,0.0
2011-05-27,SZO,-0.34
2011-05-27,UGL,0.0
2011-05-29,JW.A,0.5334
2011-05-30,DXD,0.0
2011-05-31,DPK,0.2023
2011-05-31,EMIF,0.2263
2011-05-31,INR,0.0
2011-05-31,PXR,0.2263
2011-05-31,SFN,0.148
2011-05-31,UGL,0.0
2011-06-01,ISP,0.0
2011-06-01,LCM,0.4019
2011-06-01,SCD,0.296
2011-06-02,SDP,0.0
2011-06-03,CNY,0.0
2011-06-03,SGF,0.4767
2011-06-03,SSO,0.0
2011-06-06,DNL,-0.6597
2011-06-06,DOG,0.0
2011-06-06,FONE,0.2023
2011-06-06,FXS,0.0
2011-06-06,GSP,0.0
2011-06-06,INR,0.0
2011-06-06,TWM,0.0
2011-06-07,APSA,0.0
2011-06-07,DOG,0.0
2011-06-07,KEF,0.7351
2011-06-07,KROO,0.0
2011-06-08,DNO,0.0
2011-06-08,DOG,0.0
2011-06-08,IND,0.0
2011-06-08,JYN,0.4215
2011-06-08,PCQ,0.5423
2011-06-08,PMF,0.5423
2011-06-08,PMX,0.5423
2011-06-08,TWM,0.0
2011-06-09,BWX,-0.4767
2011-06-09,DBBR,0.0
2011-06-09,DBEM,0.0
2011-06-09,JYN,0.3818
2011-06-09,LBF,0.0
2011-06-09,PICB,0.0
2011-06-09,PXH,0.4391
2011-06-10,AGOL,0.0
2011-06-10,BRAZ,0.0
2011-06-10,DGL,0.0
2011-06-10,EVX,0.0
2011-06-10,JYN,0.3004
2011-06-10,USL,0.0
2011-06-12,MZZ,0.0
2011-06-13,DEE,0.0
2011-06-13,EUM,0.0
2011-06-14,FIW,0.296
2011-06-14,ROOF,0.0
2011-06-14,SBB,0.0
2011-06-14,YXI,0.5267
2011-06-15,DPK,0.2023
2011-06-15,IPF,0.1027
2011-06-15,LTL,-0.3612
2011-06-15,UYM,0.0
2011-06-16,IOIL,0.3818
2011-06-16,PFK,0.0
2011-06-16,UPV,0.2023
2011-06-17,DEE,-0.296
2011-06-17,DJP,-0.296
2011-06-17,FLTR,0.0
2011-06-17,IPF,0.0
2011-06-17,JJA,-0.1779
2011-06-17,RJI,-0.296
2011-06-17,UCI,-0.296
2011-06-19,SRS,0.0
2011-06-20,BSE,0.296
2011-06-20,FIW,0.0
2011-06-20,IOIL,0.5106
2011-06-20,JYN,0.0
2011-06-20,NLR,0.0258
2011-06-21,DEJ,0.1779
2011-06-21,JYN,0.4215
2011-06-22,DRW,0.0
2011-06-22,DYY,0.0
2011-06-22,SRS,0.0
2011-06-23,DXD,0.2263
2011-06-23,LTL,-0.3612
2011-06-23,SCHF,-0.3182
2011-06-24,CGO,0.128
2011-06-24,CNY,0.3724
2011-06-27,BIK,0.0
2011-06-27,BKF,0.0
2011-06-27,EEB,0.0
2011-06-28,BKF,0.0
2011-06-28,BWINB,-0.6597
2011-06-28,CKX,-0.5267
2011-06-28,CYB,-0.7964
2011-06-28,EFU,0.0
2011-06-29,DBO,0.0
2011-06-29,DBU,0.0
2011-06-29,DTH,0.0
2011-06-29,HGI,0.0
2011-06-29,JYN,0.0
2011-06-29,TLO,0.7906
2011-06-30,CYB,0.4404
2011-06-30,DRW,0.3612
2011-06-30,RWO,0.3612
2011-06-30,WPS,0.3612
2011-07-01,CTV,0.128
2011-07-01,DNO,0.0
2011-07-01,DXD,0.0
2011-07-01,JYN,0.431
2011-07-01,KROO,0.0
2011-07-01,SCD,0.4019
2011-07-03,IPD,0.0
2011-07-05,CROP,0.34
2011-07-05,ERO,0.0
2011-07-05,FXS,0.4404
2011-07-05,MGH,0.2023
2011-07-06,CCX,0.0
2011-07-06,FXS,0.0
2011-07-06,GWX,0.0
2011-07-06,IVW,0.0
2011-07-06,IWN,0.0
2011-07-06,REW,0.3182
2011-07-06,TWM,0.0
2011-07-07,FLM,0.34
2011-07-07,GMF,0.0
2011-07-07,URR,0.2023
2011-07-08,JYN,-0.296
2011-07-08,PEZ,0.0
2011-07-08,UBC,0.0
2011-07-09,PSI,0.0
2011-07-11,EFU,0.0
2011-07-11,ERO,-0.8074
2011-07-11,IJT,0.0
2011-07-11,NECB,0.0
2011-07-11,UPV,0.2023
2011-07-12,CROP,0.0
2011-07-12,FAV,0.802
2011-07-12,PEZ,0.0
2011-07-12,PUI,0.0
2011-07-12,TFG,0.0
2011-07-12,UBC,0.0
2011-07-13,ERO,0.0
2011-07-13,PSCH,0.4939
2011-07-13,REW,0.3182
2011-07-13,UCD,-0.5719
2011-07-13,UCI,-0.5719
2011-07-13,XMPT,0.0
2011-07-14,DJP,0.2732
2011-07-14,ENY,0.0
2011-07-14,MOG.B,0.0
2011-07-14,RTM,0.0
2011-07-14,URR,-0.5267
2011-07-15,DOL,0.0
2011-07-15,PXJ,0.0
2011-07-18,AIB,0.0
2011-07-18,CEE,0.296
2011-07-18,EFU,0.0
2011-07-18,MZZ,0.0
2011-07-18,VOT,0.0
2011-07-19,DGZ,-0.6486
2011-07-19,ERO,0.0
2011-07-19,ESBF,0.0
2011-07-19,FONE,0.0
2011-07-19,PRB,0.0
2011-07-19,SCHF,-0.6486
2011-07-19,UBG,-0.6486
2011-07-19,URR,0.0
2011-07-19,USCI,0.0
2011-07-19,USL,0.0
